candidato_nombre,partido,candidato_porcentaje,candidato_votos,departamento,municipio
Iván Duque,Partido Centro Democrático,90.43,1683,Sucre,San Juan De Betulia (betulia)
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,7.57,141,Sucre,San Juan De Betulia (betulia)
Alejandro Ordóñez,G.S.C. La Patria De Pie,1.98,37,Sucre,San Juan De Betulia (betulia)
votos no marcados,votos no marcados,,27,Sucre,San Juan De Betulia (betulia)
votos nulos,votos nulos,,7,Sucre,San Juan De Betulia (betulia)
Iván Duque,Partido Centro Democrático,66.11,240,Caqueta,Solita
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,28.37,103,Caqueta,Solita
Alejandro Ordóñez,G.S.C. La Patria De Pie,5.5,20,Caqueta,Solita
votos no marcados,votos no marcados,,17,Caqueta,Solita
votos nulos,votos nulos,,8,Caqueta,Solita
Iván Duque,Partido Centro Democrático,57.39,97,Choco,San Jose Del Palmar
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,40.23,68,Choco,San Jose Del Palmar
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.36,4,Choco,San Jose Del Palmar
votos no marcados,votos no marcados,,5,Choco,San Jose Del Palmar
votos nulos,votos nulos,,2,Choco,San Jose Del Palmar
Iván Duque,Partido Centro Democrático,62.42,2301,Risaralda,La Virginia
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,25.93,956,Risaralda,La Virginia
Alejandro Ordóñez,G.S.C. La Patria De Pie,11.63,429,Risaralda,La Virginia
votos no marcados,votos no marcados,,67,Risaralda,La Virginia
votos nulos,votos nulos,,63,Risaralda,La Virginia
Iván Duque,Partido Centro Democrático,46.87,15,Amazonas,La Chorrera
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,37.5,12,Amazonas,La Chorrera
Alejandro Ordóñez,G.S.C. La Patria De Pie,15.62,5,Amazonas,La Chorrera
votos no marcados,votos no marcados,,3,Amazonas,La Chorrera
votos nulos,votos nulos,,0,Amazonas,La Chorrera
Iván Duque,Partido Centro Democrático,77.34,1434,Cesar,La Jagua De Ibirico
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,16.66,309,Cesar,La Jagua De Ibirico
Alejandro Ordóñez,G.S.C. La Patria De Pie,5.98,111,Cesar,La Jagua De Ibirico
votos no marcados,votos no marcados,,42,Cesar,La Jagua De Ibirico
votos nulos,votos nulos,,25,Cesar,La Jagua De Ibirico
Iván Duque,Partido Centro Democrático,63.99,13442,Cundinamarca,Fusagasuga
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,29.44,6184,Cundinamarca,Fusagasuga
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.56,1378,Cundinamarca,Fusagasuga
votos no marcados,votos no marcados,,211,Cundinamarca,Fusagasuga
votos nulos,votos nulos,,294,Cundinamarca,Fusagasuga
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,52.14,995,Boyaca,Nobsa
Iván Duque,Partido Centro Democrático,41.03,783,Boyaca,Nobsa
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.81,130,Boyaca,Nobsa
votos no marcados,votos no marcados,,26,Boyaca,Nobsa
votos nulos,votos nulos,,31,Boyaca,Nobsa
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,50.69,366,Nariño,Taminango
Iván Duque,Partido Centro Democrático,45.42,328,Nariño,Taminango
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.87,28,Nariño,Taminango
votos no marcados,votos no marcados,,28,Nariño,Taminango
votos nulos,votos nulos,,12,Nariño,Taminango
Iván Duque,Partido Centro Democrático,53.55,392,Cauca,Caldono
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,40.84,299,Cauca,Caldono
Alejandro Ordóñez,G.S.C. La Patria De Pie,5.6,41,Cauca,Caldono
votos no marcados,votos no marcados,,29,Cauca,Caldono
votos nulos,votos nulos,,7,Cauca,Caldono
Iván Duque,Partido Centro Democrático,68.92,295,Nariño,Puerres
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,27.57,118,Nariño,Puerres
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.5,15,Nariño,Puerres
votos no marcados,votos no marcados,,17,Nariño,Puerres
votos nulos,votos nulos,,15,Nariño,Puerres
Iván Duque,Partido Centro Democrático,67.52,1476,Cundinamarca,Anolaima
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,24.51,536,Cundinamarca,Anolaima
Alejandro Ordóñez,G.S.C. La Patria De Pie,7.95,174,Cundinamarca,Anolaima
votos no marcados,votos no marcados,,20,Cundinamarca,Anolaima
votos nulos,votos nulos,,46,Cundinamarca,Anolaima
Iván Duque,Partido Centro Democrático,77.19,3077,Antioquia,Puerto Berrio
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,17.05,680,Antioquia,Puerto Berrio
Alejandro Ordóñez,G.S.C. La Patria De Pie,5.74,229,Antioquia,Puerto Berrio
votos no marcados,votos no marcados,,33,Antioquia,Puerto Berrio
votos nulos,votos nulos,,59,Antioquia,Puerto Berrio
Iván Duque,Partido Centro Democrático,77.05,1061,Putumayo,Sibundoy
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,18.66,257,Putumayo,Sibundoy
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.28,59,Putumayo,Sibundoy
votos no marcados,votos no marcados,,39,Putumayo,Sibundoy
votos nulos,votos nulos,,13,Putumayo,Sibundoy
Iván Duque,Partido Centro Democrático,77.33,703,Meta,Puerto Rico
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,13.86,126,Meta,Puerto Rico
Alejandro Ordóñez,G.S.C. La Patria De Pie,8.8,80,Meta,Puerto Rico
votos no marcados,votos no marcados,,50,Meta,Puerto Rico
votos nulos,votos nulos,,31,Meta,Puerto Rico
Iván Duque,Partido Centro Democrático,76.45,1958,Magdalena,Zona Bananera (sevilla)
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,19.36,496,Magdalena,Zona Bananera (sevilla)
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.17,107,Magdalena,Zona Bananera (sevilla)
votos no marcados,votos no marcados,,246,Magdalena,Zona Bananera (sevilla)
votos nulos,votos nulos,,59,Magdalena,Zona Bananera (sevilla)
Iván Duque,Partido Centro Democrático,87.22,3366,Cesar,La Paz
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,9.09,351,Cesar,La Paz
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.67,142,Cesar,La Paz
votos no marcados,votos no marcados,,133,Cesar,La Paz
votos nulos,votos nulos,,25,Cesar,La Paz
Iván Duque,Partido Centro Democrático,64.08,621,Consulados,Inglaterra
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,30.75,298,Consulados,Inglaterra
Alejandro Ordóñez,G.S.C. La Patria De Pie,5.15,50,Consulados,Inglaterra
votos no marcados,votos no marcados,,14,Consulados,Inglaterra
votos nulos,votos nulos,,4,Consulados,Inglaterra
Iván Duque,Partido Centro Democrático,75.88,840,Valle,El Dovio
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,19.42,215,Valle,El Dovio
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.69,52,Valle,El Dovio
votos no marcados,votos no marcados,,19,Valle,El Dovio
votos nulos,votos nulos,,18,Valle,El Dovio
Iván Duque,Partido Centro Democrático,83.92,893,Bolivar,San Estanislao
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,9.96,106,Bolivar,San Estanislao
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.1,65,Bolivar,San Estanislao
votos no marcados,votos no marcados,,18,Bolivar,San Estanislao
votos nulos,votos nulos,,36,Bolivar,San Estanislao
Iván Duque,Partido Centro Democrático,71.53,93,Norte De San,Hacari
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,21.53,28,Norte De San,Hacari
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.92,9,Norte De San,Hacari
votos no marcados,votos no marcados,,3,Norte De San,Hacari
votos nulos,votos nulos,,7,Norte De San,Hacari
Iván Duque,Partido Centro Democrático,77.94,1226,Antioquia,Ebejico
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,19.83,312,Antioquia,Ebejico
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.22,35,Antioquia,Ebejico
votos no marcados,votos no marcados,,41,Antioquia,Ebejico
votos nulos,votos nulos,,24,Antioquia,Ebejico
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,47.59,307,Consulados,Francia
Iván Duque,Partido Centro Democrático,46.66,301,Consulados,Francia
Alejandro Ordóñez,G.S.C. La Patria De Pie,5.73,37,Consulados,Francia
votos no marcados,votos no marcados,,4,Consulados,Francia
votos nulos,votos nulos,,2,Consulados,Francia
Iván Duque,Partido Centro Democrático,61.9,143,Cauca,Padilla
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,32.03,74,Cauca,Padilla
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.06,14,Cauca,Padilla
votos no marcados,votos no marcados,,3,Cauca,Padilla
votos nulos,votos nulos,,15,Cauca,Padilla
Iván Duque,Partido Centro Democrático,80.4,1071,Huila,Iquira
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,15.61,208,Huila,Iquira
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.97,53,Huila,Iquira
votos no marcados,votos no marcados,,19,Huila,Iquira
votos nulos,votos nulos,,14,Huila,Iquira
Iván Duque,Partido Centro Democrático,61.52,17279,Santander,Giron
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,25.72,7223,Santander,Giron
Alejandro Ordóñez,G.S.C. La Patria De Pie,12.75,3581,Santander,Giron
votos no marcados,votos no marcados,,296,Santander,Giron
votos nulos,votos nulos,,410,Santander,Giron
Iván Duque,Partido Centro Democrático,72.08,754,Caqueta,San Jose Del Fragua
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,23.42,245,Caqueta,San Jose Del Fragua
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.49,47,Caqueta,San Jose Del Fragua
votos no marcados,votos no marcados,,22,Caqueta,San Jose Del Fragua
votos nulos,votos nulos,,9,Caqueta,San Jose Del Fragua
Iván Duque,Partido Centro Democrático,72.72,456,Meta,El Castillo
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,22.64,142,Meta,El Castillo
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.62,29,Meta,El Castillo
votos no marcados,votos no marcados,,11,Meta,El Castillo
votos nulos,votos nulos,,11,Meta,El Castillo
Iván Duque,Partido Centro Democrático,72.27,1066,Cundinamarca,San Antonio Del Tequendama
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,24.74,365,Cundinamarca,San Antonio Del Tequendama
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.98,44,Cundinamarca,San Antonio Del Tequendama
votos no marcados,votos no marcados,,11,Cundinamarca,San Antonio Del Tequendama
votos nulos,votos nulos,,22,Cundinamarca,San Antonio Del Tequendama
Iván Duque,Partido Centro Democrático,88.84,1107,Cordoba,Los Cordobas
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,8.98,112,Cordoba,Los Cordobas
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.16,27,Cordoba,Los Cordobas
votos no marcados,votos no marcados,,33,Cordoba,Los Cordobas
votos nulos,votos nulos,,4,Cordoba,Los Cordobas
Iván Duque,Partido Centro Democrático,75.11,1141,Santander,Matanza
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,18.56,282,Santander,Matanza
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.31,96,Santander,Matanza
votos no marcados,votos no marcados,,17,Santander,Matanza
votos nulos,votos nulos,,12,Santander,Matanza
Iván Duque,Partido Centro Democrático,93.3,1241,Magdalena,Pedraza
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,5.26,70,Magdalena,Pedraza
Alejandro Ordóñez,G.S.C. La Patria De Pie,1.42,19,Magdalena,Pedraza
votos no marcados,votos no marcados,,59,Magdalena,Pedraza
votos nulos,votos nulos,,13,Magdalena,Pedraza
Iván Duque,Partido Centro Democrático,74.13,13210,Meta,Acacias
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,18.3,3261,Meta,Acacias
Alejandro Ordóñez,G.S.C. La Patria De Pie,7.56,1348,Meta,Acacias
votos no marcados,votos no marcados,,181,Meta,Acacias
votos nulos,votos nulos,,362,Meta,Acacias
Iván Duque,Partido Centro Democrático,81.66,499,Norte De San,Cacota
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,14.56,89,Norte De San,Cacota
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.76,23,Norte De San,Cacota
votos no marcados,votos no marcados,,5,Norte De San,Cacota
votos nulos,votos nulos,,6,Norte De San,Cacota
Iván Duque,Partido Centro Democrático,83.55,1001,Antioquia,La Pintada
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,12.68,152,Antioquia,La Pintada
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.75,45,Antioquia,La Pintada
votos no marcados,votos no marcados,,22,Antioquia,La Pintada
votos nulos,votos nulos,,14,Antioquia,La Pintada
Iván Duque,Partido Centro Democrático,71.42,35,Vaupes,Caruru
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,28.57,14,Vaupes,Caruru
Alejandro Ordóñez,G.S.C. La Patria De Pie,0.0,0,Vaupes,Caruru
votos no marcados,votos no marcados,,3,Vaupes,Caruru
votos nulos,votos nulos,,0,Vaupes,Caruru
Iván Duque,Partido Centro Democrático,83.54,863,Boyaca,San Jose De Pare
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,11.71,121,Boyaca,San Jose De Pare
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.74,49,Boyaca,San Jose De Pare
votos no marcados,votos no marcados,,12,Boyaca,San Jose De Pare
votos nulos,votos nulos,,1,Boyaca,San Jose De Pare
Iván Duque,Partido Centro Democrático,81.51,538,Cundinamarca,Villagomez
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,14.54,96,Cundinamarca,Villagomez
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.93,26,Cundinamarca,Villagomez
votos no marcados,votos no marcados,,11,Cundinamarca,Villagomez
votos nulos,votos nulos,,8,Cundinamarca,Villagomez
Iván Duque,Partido Centro Democrático,89.8,449,Antioquia,Peque
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,8.4,42,Antioquia,Peque
Alejandro Ordóñez,G.S.C. La Patria De Pie,1.8,9,Antioquia,Peque
votos no marcados,votos no marcados,,19,Antioquia,Peque
votos nulos,votos nulos,,6,Antioquia,Peque
Iván Duque,Partido Centro Democrático,57.1,731,Cundinamarca,Nemocon
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,36.4,466,Cundinamarca,Nemocon
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.48,83,Cundinamarca,Nemocon
votos no marcados,votos no marcados,,26,Cundinamarca,Nemocon
votos nulos,votos nulos,,35,Cundinamarca,Nemocon
Iván Duque,Partido Centro Democrático,58.46,366,Boyaca,Tenza
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,37.69,236,Boyaca,Tenza
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.83,24,Boyaca,Tenza
votos no marcados,votos no marcados,,5,Boyaca,Tenza
votos nulos,votos nulos,,6,Boyaca,Tenza
Iván Duque,Partido Centro Democrático,66.66,10,Consulados,Indonesia
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,33.33,5,Consulados,Indonesia
Alejandro Ordóñez,G.S.C. La Patria De Pie,0.0,0,Consulados,Indonesia
votos no marcados,votos no marcados,,0,Consulados,Indonesia
votos nulos,votos nulos,,0,Consulados,Indonesia
Iván Duque,Partido Centro Democrático,91.79,839,Boyaca,Covarachia
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,4.92,45,Boyaca,Covarachia
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.28,30,Boyaca,Covarachia
votos no marcados,votos no marcados,,9,Boyaca,Covarachia
votos nulos,votos nulos,,1,Boyaca,Covarachia
Iván Duque,Partido Centro Democrático,58.75,594,Putumayo,Orito
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,32.73,331,Putumayo,Orito
Alejandro Ordóñez,G.S.C. La Patria De Pie,8.5,86,Putumayo,Orito
votos no marcados,votos no marcados,,61,Putumayo,Orito
votos nulos,votos nulos,,17,Putumayo,Orito
Iván Duque,Partido Centro Democrático,81.2,4109,Casanare,Villanueva
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,15.35,777,Casanare,Villanueva
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.43,174,Casanare,Villanueva
votos no marcados,votos no marcados,,64,Casanare,Villanueva
votos nulos,votos nulos,,83,Casanare,Villanueva
Iván Duque,Partido Centro Democrático,86.31,2150,Sucre,Toluviejo
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,11.32,282,Sucre,Toluviejo
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.36,59,Sucre,Toluviejo
votos no marcados,votos no marcados,,95,Sucre,Toluviejo
votos nulos,votos nulos,,22,Sucre,Toluviejo
Iván Duque,Partido Centro Democrático,65.96,717,Cundinamarca,San Bernardo
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,30.45,331,Cundinamarca,San Bernardo
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.58,39,Cundinamarca,San Bernardo
votos no marcados,votos no marcados,,6,Cundinamarca,San Bernardo
votos nulos,votos nulos,,12,Cundinamarca,San Bernardo
Iván Duque,Partido Centro Democrático,78.57,99,Consulados,Curazao
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,14.28,18,Consulados,Curazao
Alejandro Ordóñez,G.S.C. La Patria De Pie,7.14,9,Consulados,Curazao
votos no marcados,votos no marcados,,2,Consulados,Curazao
votos nulos,votos nulos,,0,Consulados,Curazao
Iván Duque,Partido Centro Democrático,54.84,843,Cauca,Miranda
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,36.1,555,Cauca,Miranda
Alejandro Ordóñez,G.S.C. La Patria De Pie,9.04,139,Cauca,Miranda
votos no marcados,votos no marcados,,45,Cauca,Miranda
votos nulos,votos nulos,,44,Cauca,Miranda
Iván Duque,Partido Centro Democrático,78.88,1808,Sucre,San Onofre
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,17.67,405,Sucre,San Onofre
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.44,79,Sucre,San Onofre
votos no marcados,votos no marcados,,161,Sucre,San Onofre
votos nulos,votos nulos,,16,Sucre,San Onofre
Iván Duque,Partido Centro Democrático,68.76,1453,Santander,Velez
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,25.13,531,Santander,Velez
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.1,129,Santander,Velez
votos no marcados,votos no marcados,,27,Santander,Velez
votos nulos,votos nulos,,46,Santander,Velez
Iván Duque,Partido Centro Democrático,67.67,1694,Valle,Guacari
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,25.28,633,Valle,Guacari
Alejandro Ordóñez,G.S.C. La Patria De Pie,7.03,176,Valle,Guacari
votos no marcados,votos no marcados,,55,Valle,Guacari
votos nulos,votos nulos,,60,Valle,Guacari
Iván Duque,Partido Centro Democrático,86.5,519,Santander,Vetas
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,9.16,55,Santander,Vetas
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.33,26,Santander,Vetas
votos no marcados,votos no marcados,,19,Santander,Vetas
votos nulos,votos nulos,,6,Santander,Vetas
Iván Duque,Partido Centro Democrático,70.45,6843,Tolima,Espinal
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,24.57,2387,Tolima,Espinal
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.96,482,Tolima,Espinal
votos no marcados,votos no marcados,,103,Tolima,Espinal
votos nulos,votos nulos,,137,Tolima,Espinal
Iván Duque,Partido Centro Democrático,53.0,1348,Boyaca,Santa Rosa De Viterbo
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,40.66,1034,Boyaca,Santa Rosa De Viterbo
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.33,161,Boyaca,Santa Rosa De Viterbo
votos no marcados,votos no marcados,,21,Boyaca,Santa Rosa De Viterbo
votos nulos,votos nulos,,27,Boyaca,Santa Rosa De Viterbo
Iván Duque,Partido Centro Democrático,53.6,67,Choco,Carmen Del Darien
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,42.4,53,Choco,Carmen Del Darien
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.0,5,Choco,Carmen Del Darien
votos no marcados,votos no marcados,,13,Choco,Carmen Del Darien
votos nulos,votos nulos,,5,Choco,Carmen Del Darien
Iván Duque,Partido Centro Democrático,71.9,4565,Boyaca,Puerto Boyaca
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,21.26,1350,Boyaca,Puerto Boyaca
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.83,434,Boyaca,Puerto Boyaca
votos no marcados,votos no marcados,,184,Boyaca,Puerto Boyaca
votos nulos,votos nulos,,181,Boyaca,Puerto Boyaca
Iván Duque,Partido Centro Democrático,82.66,1407,Cesar,Pailitas
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,12.74,217,Cesar,Pailitas
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.58,78,Cesar,Pailitas
votos no marcados,votos no marcados,,16,Cesar,Pailitas
votos nulos,votos nulos,,11,Cesar,Pailitas
Iván Duque,Partido Centro Democrático,62.61,660,Santander,Ocamonte
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,32.92,347,Santander,Ocamonte
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.45,47,Santander,Ocamonte
votos no marcados,votos no marcados,,19,Santander,Ocamonte
votos nulos,votos nulos,,6,Santander,Ocamonte
Iván Duque,Partido Centro Democrático,81.79,1285,Tolima,Venadillo
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,13.55,213,Tolima,Venadillo
Alejandro Ordóñez,G.S.C. La Patria De Pie,4.64,73,Tolima,Venadillo
votos no marcados,votos no marcados,,27,Tolima,Venadillo
votos nulos,votos nulos,,10,Tolima,Venadillo
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,47.52,48,Cauca,Jambalo
Iván Duque,Partido Centro Democrático,41.58,42,Cauca,Jambalo
Alejandro Ordóñez,G.S.C. La Patria De Pie,10.89,11,Cauca,Jambalo
votos no marcados,votos no marcados,,25,Cauca,Jambalo
votos nulos,votos nulos,,7,Cauca,Jambalo
Iván Duque,Partido Centro Democrático,86.73,726,Magdalena,El Reten
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,10.75,90,Magdalena,El Reten
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.5,21,Magdalena,El Reten
votos no marcados,votos no marcados,,53,Magdalena,El Reten
votos nulos,votos nulos,,9,Magdalena,El Reten
Iván Duque,Partido Centro Democrático,91.02,1775,Casanare,San Luis De Palenque
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,6.05,118,Casanare,San Luis De Palenque
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.92,57,Casanare,San Luis De Palenque
votos no marcados,votos no marcados,,16,Casanare,San Luis De Palenque
votos nulos,votos nulos,,7,Casanare,San Luis De Palenque
Iván Duque,Partido Centro Democrático,75.6,1460,Antioquia,Urrao
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,16.88,326,Antioquia,Urrao
Alejandro Ordóñez,G.S.C. La Patria De Pie,7.5,145,Antioquia,Urrao
votos no marcados,votos no marcados,,71,Antioquia,Urrao
votos nulos,votos nulos,,33,Antioquia,Urrao
Iván Duque,Partido Centro Democrático,71.65,2756,Antioquia,San Pedro
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,25.35,975,Antioquia,San Pedro
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.99,115,Antioquia,San Pedro
votos no marcados,votos no marcados,,61,Antioquia,San Pedro
votos nulos,votos nulos,,79,Antioquia,San Pedro
Iván Duque,Partido Centro Democrático,51.32,58,Consulados,Nueva Zelandia
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,45.13,51,Consulados,Nueva Zelandia
Alejandro Ordóñez,G.S.C. La Patria De Pie,3.53,4,Consulados,Nueva Zelandia
votos no marcados,votos no marcados,,0,Consulados,Nueva Zelandia
votos nulos,votos nulos,,0,Consulados,Nueva Zelandia
Iván Duque,Partido Centro Democrático,73.83,539,Boyaca,Macanal
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,20.27,148,Boyaca,Macanal
Alejandro Ordóñez,G.S.C. La Patria De Pie,5.89,43,Boyaca,Macanal
votos no marcados,votos no marcados,,10,Boyaca,Macanal
votos nulos,votos nulos,,6,Boyaca,Macanal
Iván Duque,Partido Centro Democrático,83.55,813,Sucre,La Union
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,14.08,137,Sucre,La Union
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.36,23,Sucre,La Union
votos no marcados,votos no marcados,,33,Sucre,La Union
votos nulos,votos nulos,,1,Sucre,La Union
Iván Duque,Partido Centro Democrático,72.63,284,Choco,Medio Baudo (puerto Meluk)
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,18.92,74,Choco,Medio Baudo (puerto Meluk)
Alejandro Ordóñez,G.S.C. La Patria De Pie,8.43,33,Choco,Medio Baudo (puerto Meluk)
