candidato_nombre,partido,candidato_porcentaje,candidato_votos,departamento,municipio
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",20.98,47,Caldas,Palestina
votos no marcados,votos no marcados,,12,Caldas,Palestina
votos nulos,votos nulos,,14,Caldas,Palestina
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",94.98,9514,Cordoba,Montelibano
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",5.01,502,Cordoba,Montelibano
votos no marcados,votos no marcados,,352,Cordoba,Montelibano
votos nulos,votos nulos,,154,Cordoba,Montelibano
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",74.68,1658,Magdalena,El Reten
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",25.31,562,Magdalena,El Reten
votos no marcados,votos no marcados,,390,Magdalena,El Reten
votos nulos,votos nulos,,31,Magdalena,El Reten
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",87.88,312,Casanare,Hato Corozal
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.11,43,Casanare,Hato Corozal
votos no marcados,votos no marcados,,25,Casanare,Hato Corozal
votos nulos,votos nulos,,8,Casanare,Hato Corozal
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",80.0,668,Cundinamarca,Gachancipa
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",20.0,167,Cundinamarca,Gachancipa
votos no marcados,votos no marcados,,26,Cundinamarca,Gachancipa
votos nulos,votos nulos,,52,Cundinamarca,Gachancipa
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",87.0,415,Norte De San,Abrego
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.99,62,Norte De San,Abrego
votos no marcados,votos no marcados,,62,Norte De San,Abrego
votos nulos,votos nulos,,42,Norte De San,Abrego
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",91.61,38657,Cesar,Valledupar
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.38,3538,Cesar,Valledupar
votos no marcados,votos no marcados,,924,Cesar,Valledupar
votos nulos,votos nulos,,736,Cesar,Valledupar
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",77.55,394,Cundinamarca,Ricaurte
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",22.44,114,Cundinamarca,Ricaurte
votos no marcados,votos no marcados,,17,Cundinamarca,Ricaurte
votos nulos,votos nulos,,19,Cundinamarca,Ricaurte
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",67.56,25,Norte De San,Ragonvalia
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",32.43,12,Norte De San,Ragonvalia
votos no marcados,votos no marcados,,8,Norte De San,Ragonvalia
votos nulos,votos nulos,,1,Norte De San,Ragonvalia
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",84.18,836,Tolima,Honda
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",15.81,157,Tolima,Honda
votos no marcados,votos no marcados,,48,Tolima,Honda
votos nulos,votos nulos,,54,Tolima,Honda
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.19,1512,Santander,Puerto Wilches
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.8,128,Santander,Puerto Wilches
votos no marcados,votos no marcados,,85,Santander,Puerto Wilches
votos nulos,votos nulos,,42,Santander,Puerto Wilches
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",75.86,1594,Cundinamarca,Ubate
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",24.13,507,Cundinamarca,Ubate
votos no marcados,votos no marcados,,52,Cundinamarca,Ubate
votos nulos,votos nulos,,104,Cundinamarca,Ubate
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",93.16,218,Huila,Nataga
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",6.83,16,Huila,Nataga
votos no marcados,votos no marcados,,18,Huila,Nataga
votos nulos,votos nulos,,8,Huila,Nataga
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",86.66,156,Boyaca,Muzo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",13.33,24,Boyaca,Muzo
votos no marcados,votos no marcados,,9,Boyaca,Muzo
votos nulos,votos nulos,,3,Boyaca,Muzo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",97.61,2537,Cauca,Inza
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",2.38,62,Cauca,Inza
votos no marcados,votos no marcados,,112,Cauca,Inza
votos nulos,votos nulos,,63,Cauca,Inza
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",93.61,557,Risaralda,Pueblo Rico
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",6.38,38,Risaralda,Pueblo Rico
votos no marcados,votos no marcados,,170,Risaralda,Pueblo Rico
votos nulos,votos nulos,,18,Risaralda,Pueblo Rico
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",80.0,28,Antioquia,San Jose De La Montaña
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",20.0,7,Antioquia,San Jose De La Montaña
votos no marcados,votos no marcados,,1,Antioquia,San Jose De La Montaña
votos nulos,votos nulos,,0,Antioquia,San Jose De La Montaña
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",96.5,1106,Nariño,Puerres
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",3.49,40,Nariño,Puerres
votos no marcados,votos no marcados,,25,Nariño,Puerres
votos nulos,votos nulos,,9,Nariño,Puerres
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.46,332,Boyaca,Tasco
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.53,35,Boyaca,Tasco
votos no marcados,votos no marcados,,15,Boyaca,Tasco
votos nulos,votos nulos,,7,Boyaca,Tasco
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.3,288,Bolivar,Montecristo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.69,24,Bolivar,Montecristo
votos no marcados,votos no marcados,,40,Bolivar,Montecristo
votos nulos,votos nulos,,3,Bolivar,Montecristo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",83.84,353,Valle,Riofrio
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",16.15,68,Valle,Riofrio
votos no marcados,votos no marcados,,19,Valle,Riofrio
votos nulos,votos nulos,,14,Valle,Riofrio
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.15,1026,Santander,Velez
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.84,112,Santander,Velez
votos no marcados,votos no marcados,,29,Santander,Velez
votos nulos,votos nulos,,23,Santander,Velez
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.95,161,Tolima,Villahermosa
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.04,20,Tolima,Villahermosa
votos no marcados,votos no marcados,,15,Tolima,Villahermosa
votos nulos,votos nulos,,7,Tolima,Villahermosa
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.69,117,Santander,Tona
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.3,12,Santander,Tona
votos no marcados,votos no marcados,,5,Santander,Tona
votos nulos,votos nulos,,2,Santander,Tona
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",66.66,16,Caldas,Marulanda
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",33.33,8,Caldas,Marulanda
votos no marcados,votos no marcados,,3,Caldas,Marulanda
votos nulos,votos nulos,,0,Caldas,Marulanda
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",52.13,8379,Magdalena,Cienaga
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",47.86,7692,Magdalena,Cienaga
votos no marcados,votos no marcados,,715,Magdalena,Cienaga
votos nulos,votos nulos,,234,Magdalena,Cienaga
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",87.14,61,Cundinamarca,Jerusalen
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.85,9,Cundinamarca,Jerusalen
votos no marcados,votos no marcados,,3,Cundinamarca,Jerusalen
votos nulos,votos nulos,,1,Cundinamarca,Jerusalen
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.0,22,Vaupes,Taraira
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.0,3,Vaupes,Taraira
votos no marcados,votos no marcados,,0,Vaupes,Taraira
votos nulos,votos nulos,,0,Vaupes,Taraira
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",94.47,975,Cauca,Rosas
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",5.52,57,Cauca,Rosas
votos no marcados,votos no marcados,,47,Cauca,Rosas
votos nulos,votos nulos,,36,Cauca,Rosas
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",83.84,2117,Risaralda,Santa Rosa De Cabal
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",16.15,408,Risaralda,Santa Rosa De Cabal
votos no marcados,votos no marcados,,93,Risaralda,Santa Rosa De Cabal
votos nulos,votos nulos,,77,Risaralda,Santa Rosa De Cabal
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",85.55,231,Cundinamarca,Susa
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",14.44,39,Cundinamarca,Susa
votos no marcados,votos no marcados,,4,Cundinamarca,Susa
votos nulos,votos nulos,,8,Cundinamarca,Susa
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",50.0,1,Guainia,Cacahual
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",50.0,1,Guainia,Cacahual
votos no marcados,votos no marcados,,0,Guainia,Cacahual
votos nulos,votos nulos,,0,Guainia,Cacahual
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",95.0,2014,Cauca,Cajibio
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",5.0,106,Cauca,Cajibio
votos no marcados,votos no marcados,,126,Cauca,Cajibio
votos nulos,votos nulos,,72,Cauca,Cajibio
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",81.15,409,Magdalena,Remolino
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",18.84,95,Magdalena,Remolino
votos no marcados,votos no marcados,,14,Magdalena,Remolino
votos nulos,votos nulos,,8,Magdalena,Remolino
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",98.44,253,Choco,Sipi
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",1.55,4,Choco,Sipi
votos no marcados,votos no marcados,,34,Choco,Sipi
votos nulos,votos nulos,,7,Choco,Sipi
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",86.23,238,Huila,Saladoblanco
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",13.76,38,Huila,Saladoblanco
votos no marcados,votos no marcados,,30,Huila,Saladoblanco
votos nulos,votos nulos,,9,Huila,Saladoblanco
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",81.45,584,Cundinamarca,Nemocon
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",18.54,133,Cundinamarca,Nemocon
votos no marcados,votos no marcados,,26,Cundinamarca,Nemocon
votos nulos,votos nulos,,34,Cundinamarca,Nemocon
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",76.85,186,Santander,Zapatoca
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",23.14,56,Santander,Zapatoca
votos no marcados,votos no marcados,,6,Santander,Zapatoca
votos nulos,votos nulos,,2,Santander,Zapatoca
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",83.33,90,Valle,Argelia
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",16.66,18,Valle,Argelia
votos no marcados,votos no marcados,,6,Valle,Argelia
votos nulos,votos nulos,,3,Valle,Argelia
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",96.66,29,Amazonas,Miriti Parana
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",3.33,1,Amazonas,Miriti Parana
votos no marcados,votos no marcados,,2,Amazonas,Miriti Parana
votos nulos,votos nulos,,2,Amazonas,Miriti Parana
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",84.4,4507,La Guajira,Fonseca
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",15.59,833,La Guajira,Fonseca
votos no marcados,votos no marcados,,127,La Guajira,Fonseca
votos nulos,votos nulos,,57,La Guajira,Fonseca
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",62.5,5,Santander,Vetas
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",37.5,3,Santander,Vetas
votos no marcados,votos no marcados,,1,Santander,Vetas
votos nulos,votos nulos,,0,Santander,Vetas
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.01,7317,Valle,Buga
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.98,812,Valle,Buga
votos no marcados,votos no marcados,,148,Valle,Buga
votos nulos,votos nulos,,155,Valle,Buga
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",89.32,293,Tolima,Alvarado
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",10.67,35,Tolima,Alvarado
votos no marcados,votos no marcados,,9,Tolima,Alvarado
votos nulos,votos nulos,,2,Tolima,Alvarado
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",55.29,120,Norte De San,San Cayetano
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",44.7,97,Norte De San,San Cayetano
votos no marcados,votos no marcados,,10,Norte De San,San Cayetano
votos nulos,votos nulos,,5,Norte De San,San Cayetano
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",83.1,1417,Magdalena,Sitionuevo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",16.89,288,Magdalena,Sitionuevo
votos no marcados,votos no marcados,,231,Magdalena,Sitionuevo
votos nulos,votos nulos,,18,Magdalena,Sitionuevo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",84.9,45,Santander,Macaravita
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",15.09,8,Santander,Macaravita
votos no marcados,votos no marcados,,11,Santander,Macaravita
votos nulos,votos nulos,,2,Santander,Macaravita
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",74.78,86,Antioquia,Jerico
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",25.21,29,Antioquia,Jerico
votos no marcados,votos no marcados,,11,Antioquia,Jerico
votos nulos,votos nulos,,7,Antioquia,Jerico
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",91.58,98,Caqueta,Solita
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.41,9,Caqueta,Solita
votos no marcados,votos no marcados,,13,Caqueta,Solita
votos nulos,votos nulos,,4,Caqueta,Solita
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",95.73,695,Putumayo,San Francisco
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",4.26,31,Putumayo,San Francisco
votos no marcados,votos no marcados,,10,Putumayo,San Francisco
votos nulos,votos nulos,,9,Putumayo,San Francisco
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",60.6,2043,Magdalena,Pivijay
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",39.39,1328,Magdalena,Pivijay
votos no marcados,votos no marcados,,116,Magdalena,Pivijay
votos nulos,votos nulos,,50,Magdalena,Pivijay
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",72.72,8,Santander,Cabrera
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",27.27,3,Santander,Cabrera
votos no marcados,votos no marcados,,2,Santander,Cabrera
votos nulos,votos nulos,,0,Santander,Cabrera
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",78.23,302,Cundinamarca,Arbelaez
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",21.76,84,Cundinamarca,Arbelaez
votos no marcados,votos no marcados,,12,Cundinamarca,Arbelaez
votos nulos,votos nulos,,6,Cundinamarca,Arbelaez
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",71.42,80,Norte De San,Cucutilla
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",28.57,32,Norte De San,Cucutilla
votos no marcados,votos no marcados,,15,Norte De San,Cucutilla
votos nulos,votos nulos,,6,Norte De San,Cucutilla
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",91.92,205,Boyaca,Gachantiva
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.07,18,Boyaca,Gachantiva
votos no marcados,votos no marcados,,11,Boyaca,Gachantiva
votos nulos,votos nulos,,5,Boyaca,Gachantiva
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",93.38,1411,Choco,Condoto
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",6.61,100,Choco,Condoto
votos no marcados,votos no marcados,,98,Choco,Condoto
votos nulos,votos nulos,,44,Choco,Condoto
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",78.46,51,Antioquia,Briceño
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",21.53,14,Antioquia,Briceño
votos no marcados,votos no marcados,,8,Antioquia,Briceño
votos nulos,votos nulos,,1,Antioquia,Briceño
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",79.39,131,Consulados,Italia
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",20.6,34,Consulados,Italia
votos no marcados,votos no marcados,,2,Consulados,Italia
votos nulos,votos nulos,,1,Consulados,Italia
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",74.75,154,Cundinamarca,Guatavita
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",25.24,52,Cundinamarca,Guatavita
votos no marcados,votos no marcados,,16,Cundinamarca,Guatavita
votos nulos,votos nulos,,7,Cundinamarca,Guatavita
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",76.19,112,Cundinamarca,Tausa
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",23.8,35,Cundinamarca,Tausa
votos no marcados,votos no marcados,,3,Cundinamarca,Tausa
votos nulos,votos nulos,,4,Cundinamarca,Tausa
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.16,462,Valle,Restrepo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.83,62,Valle,Restrepo
votos no marcados,votos no marcados,,15,Valle,Restrepo
votos nulos,votos nulos,,10,Valle,Restrepo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",93.32,3102,Cesar,Bosconia
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",6.67,222,Cesar,Bosconia
votos no marcados,votos no marcados,,99,Cesar,Bosconia
votos nulos,votos nulos,,45,Cesar,Bosconia
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",93.76,391,Choco,Union Panamericana (las Animas
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",6.23,26,Choco,Union Panamericana (las Animas
votos no marcados,votos no marcados,,23,Choco,Union Panamericana (las Animas
votos nulos,votos nulos,,10,Choco,Union Panamericana (las Animas
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.33,1578,Huila,San Agustin
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.66,131,Huila,San Agustin
votos no marcados,votos no marcados,,53,Huila,San Agustin
votos nulos,votos nulos,,23,Huila,San Agustin
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",95.96,7089,Putumayo,Mocoa
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",4.03,298,Putumayo,Mocoa
votos no marcados,votos no marcados,,118,Putumayo,Mocoa
votos nulos,votos nulos,,92,Putumayo,Mocoa
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.79,309,Boyaca,Soata
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.2,39,Boyaca,Soata
votos no marcados,votos no marcados,,10,Boyaca,Soata
votos nulos,votos nulos,,6,Boyaca,Soata
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",80.45,140,Boyaca,San Jose De Pare
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",19.54,34,Boyaca,San Jose De Pare
votos no marcados,votos no marcados,,12,Boyaca,San Jose De Pare
votos nulos,votos nulos,,3,Boyaca,San Jose De Pare
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.9,30,Boyaca,La Victoria
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.09,3,Boyaca,La Victoria
votos no marcados,votos no marcados,,4,Boyaca,La Victoria
votos nulos,votos nulos,,1,Boyaca,La Victoria
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",74.4,93,Boyaca,Togui
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",25.6,32,Boyaca,Togui
votos no marcados,votos no marcados,,3,Boyaca,Togui
votos nulos,votos nulos,,3,Boyaca,Togui
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",85.07,228,Consulados,Suiza
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",14.92,40,Consulados,Suiza
votos no marcados,votos no marcados,,8,Consulados,Suiza
votos nulos,votos nulos,,0,Consulados,Suiza
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",95.14,5471,Sucre,Tolu
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",4.85,279,Sucre,Tolu
votos no marcados,votos no marcados,,269,Sucre,Tolu
votos nulos,votos nulos,,101,Sucre,Tolu
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",78.89,1073,Santander,Socorro
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",21.1,287,Santander,Socorro
votos no marcados,votos no marcados,,29,Santander,Socorro
votos nulos,votos nulos,,27,Santander,Socorro
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.25,881,Casanare,Paz De Ariporo (moreno)
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.74,74,Casanare,Paz De Ariporo (moreno)
votos no marcados,votos no marcados,,50,Casanare,Paz De Ariporo (moreno)
votos nulos,votos nulos,,19,Casanare,Paz De Ariporo (moreno)
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",76.13,67,Santander,Paramo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",23.86,21,Santander,Paramo
votos no marcados,votos no marcados,,4,Santander,Paramo
votos nulos,votos nulos,,3,Santander,Paramo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",73.96,1142,Caldas,Villamaria
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",26.03,402,Caldas,Villamaria
votos no marcados,votos no marcados,,39,Caldas,Villamaria
votos nulos,votos nulos,,60,Caldas,Villamaria
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",60.21,56,Cundinamarca,Quebradanegra
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",39.78,37,Cundinamarca,Quebradanegra
votos no marcados,votos no marcados,,5,Cundinamarca,Quebradanegra
votos nulos,votos nulos,,1,Cundinamarca,Quebradanegra
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",95.67,3095,Cauca,Miranda
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",4.32,140,Cauca,Miranda
votos no marcados,votos no marcados,,104,Cauca,Miranda
votos nulos,votos nulos,,82,Cauca,Miranda
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",65.87,861,Magdalena,Nueva Granada
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",34.12,446,Magdalena,Nueva Granada
votos no marcados,votos no marcados,,91,Magdalena,Nueva Granada
votos nulos,votos nulos,,24,Magdalena,Nueva Granada
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",86.85,152,Caqueta,Albania
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",13.14,23,Caqueta,Albania
votos no marcados,votos no marcados,,9,Caqueta,Albania
votos nulos,votos nulos,,3,Caqueta,Albania
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",98.0,49,Boyaca,Sativasur
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",2.0,1,Boyaca,Sativasur
votos no marcados,votos no marcados,,0,Boyaca,Sativasur
votos nulos,votos nulos,,0,Boyaca,Sativasur
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",59.12,991,Magdalena,Guamal
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",40.87,685,Magdalena,Guamal
votos no marcados,votos no marcados,,58,Magdalena,Guamal
votos nulos,votos nulos,,14,Magdalena,Guamal
